level,state,district
state-lower,CA,53
state-lower,CA,54
state-lower,CA,55
state-lower,CA,56
state-lower,CA,57
state-lower,CA,58
state-lower,CA,59
state-lower,CA,60
state-lower,CA,61
state-lower,CA,62
state-lower,CA,63
state-lower,CA,64
state-lower,CA,65
state-lower,CA,66
state-lower,CA,67
state-lower,CA,68
state-lower,CA,69
state-lower,CA,70
state-lower,CA,71
state-lower,CA,72
state-lower,CA,73
state-lower,CA,74
state-lower,CA,75
state-lower,CA,76
state-lower,CA,77
state-lower,CA,78
state-lower,CA,79
state-lower,CA,80
state-lower,CO,1
state-lower,CO,2
state-lower,CO,3
state-lower,CO,4
state-lower,CO,5
state-lower,CO,6
state-lower,CO,7
state-lower,CO,8
state-lower,CO,9
state-lower,CO,10
state-lower,CO,11
state-lower,CO,12
state-lower,CO,13
state-lower,CO,14
state-lower,CO,15
state-lower,CO,16
state-lower,CO,17
state-lower,CO,18
state-lower,CO,19
state-lower,CO,20
state-lower,CO,21
state-lower,CO,22
state-lower,CO,23
state-lower,CO,24
state-lower,CO,25
state-lower,CO,26
state-lower,CO,27
state-lower,CO,28
state-lower,CO,29
state-lower,CO,30
state-lower,CO,31
state-lower,CO,32
state-lower,CO,33
state-lower,CO,34
state-lower,CO,35
state-lower,CO,36
state-lower,CO,37
state-lower,CO,38
state-lower,CO,39
state-lower,CO,40
state-lower,CO,41
state-lower,CO,42
state-lower,CO,43
state-lower,CO,44
state-lower,CO,45
state-lower,CO,46
state-lower,CO,47
state-lower,CO,48
state-lower,CO,49
state-lower,CO,50
state-lower,CO,51
state-lower,CO,52
state-lower,CO,53
state-lower,CO,54
state-lower,CO,55
state-lower,CO,56
state-lower,CO,57
state-lower,CO,58
state-lower,CO,59
state-lower,CO,60
state-lower,CO,61
state-lower,CO,62
state-lower,CO,63
state-lower,CO,64
state-lower,CO,65
state-lower,CT,1
state-lower,CT,2
state-lower,CT,3
state-lower,CT,4
state-lower,CT,5
state-lower,CT,6
state-lower,CT,7
state-lower,CT,8
state-lower,CT,9
state-lower,CT,10
state-lower,CT,11
state-lower,CT,12
state-lower,CT,13
state-lower,CT,14
state-lower,CT,15
state-lower,CT,16
state-lower,CT,17
state-lower,CT,18
state-lower,CT,19
state-lower,CT,20
state-lower,CT,21
state-lower,CT,22
state-lower,CT,23
state-lower,CT,24
state-lower,CT,25
state-lower,CT,26
state-lower,CT,27
state-lower,CT,28
state-lower,CT,29
state-lower,CT,30
state-lower,CT,31
state-lower,CT,32
state-lower,CT,33
state-lower,CT,34
state-lower,CT,35
state-lower,CT,36
state-lower,CT,37
state-lower,CT,38
state-lower,CT,39
state-lower,CT,40
state-lower,CT,41
state-lower,CT,42
state-lower,CT,43
state-lower,CT,44
state-lower,CT,45
state-lower,CT,46
state-lower,CT,47
state-lower,CT,48
state-lower,CT,49
state-lower,CT,50
state-lower,CT,51
state-lower,CT,52
state-lower,CT,53
state-lower,CT,54
state-lower,CT,55
state-lower,CT,56
state-lower,CT,57
state-lower,CT,58
state-lower,CT,59
state-lower,CT,60
state-lower,CT,61
state-lower,CT,62
state-lower,CT,63
state-lower,CT,64
state-lower,CT,65
state-lower,CT,66
state-lower,CT,67
state-lower,CT,68
state-lower,CT,69
state-lower,CT,70
state-lower,CT,71
state-lower,CT,72
state-lower,CT,73
state-lower,CT,74
state-lower,CT,75
state-lower,CT,76
state-lower,CT,77
state-lower,CT,78
state-lower,CT,79
state-lower,CT,80
state-lower,CT,81
state-lower,CT,82
state-lower,CT,83
state-lower,CT,84
state-lower,CT,85
state-lower,CT,86
state-lower,CT,87
state-lower,CT,88
state-lower,CT,89
state-lower,CT,90
state-lower,CT,91
state-lower,CT,92
state-lower,CT,93
state-lower,CT,94
state-lower,CT,95
state-lower,CT,96
state-lower,CT,97
state-lower,CT,98
state-lower,CT,99
state-lower,CT,100
state-lower,CT,101
state-lower,CT,102
state-lower,CT,103
state-lower,CT,104
state-lower,CT,105
state-lower,CT,106
state-lower,CT,107
state-lower,CT,108
state-lower,CT,109
state-lower,CT,110
state-lower,CT,111
state-lower,CT,112
state-lower,CT,113
state-lower,CT,114
state-lower,CT,115
state-lower,CT,116
state-lower,CT,117
state-lower,CT,118
state-lower,CT,119
state-lower,CT,120
state-lower,CT,121
state-lower,CT,122
state-lower,CT,123
state-lower,CT,124
state-lower,CT,125
state-lower,CT,126
state-lower,CT,127
state-lower,CT,128
state-lower,CT,129
state-lower,CT,130
state-lower,CT,131
state-lower,CT,132
state-lower,CT,133
state-lower,CT,134
state-lower,CT,135
state-lower,CT,136
state-lower,CT,137
state-lower,CT,138
state-lower,CT,139
state-lower,CT,140
state-lower,CT,141
state-lower,CT,142
state-lower,CT,143
state-lower,CT,144
state-lower,CT,145
state-lower,CT,146
state-lower,CT,147
state-lower,CT,148
state-lower,CT,149
state-lower,CT,150
state-lower,CT,151
state-lower,DE,1
state-lower,DE,2
state-lower,DE,3
state-lower,DE,4
state-lower,DE,5
state-lower,DE,6
state-lower,DE,7
state-lower,DE,8
state-lower,DE,9
state-lower,DE,10
state-lower,DE,11
state-lower,DE,12
state-lower,DE,13
state-lower,DE,14
state-lower,DE,15
state-lower,DE,16
state-lower,DE,17
state-lower,DE,18
state-lower,DE,19
state-lower,DE,20
state-lower,DE,21
state-lower,DE,22
state-lower,DE,23
state-lower,DE,24
state-lower,DE,25
state-lower,DE,26
state-lower,DE,27
state-lower,DE,28
state-lower,DE,29
state-lower,DE,30
state-lower,DE,31
state-lower,DE,32
state-lower,DE,33
state-lower,DE,34
state-lower,DE,35
state-lower,DE,36
state-lower,DE,37
state-lower,DE,38
state-lower,DE,39
state-lower,DE,40
state-lower,DE,41
state-lower,FL,1
state-lower,FL,2
state-lower,FL,3
state-lower,FL,4
state-lower,FL,5
state-lower,FL,6
state-lower,FL,7
state-lower,FL,8
state-lower,FL,9
state-lower,FL,10
state-lower,FL,11
state-lower,FL,12
state-lower,FL,13
state-lower,FL,14
state-lower,FL,15
state-lower,FL,16
state-lower,FL,17
state-lower,FL,18
state-lower,FL,19
state-lower,FL,20
state-lower,FL,21
state-lower,FL,22
state-lower,FL,23
state-lower,FL,24
state-lower,FL,25
state-lower,FL,26
state-lower,FL,27
state-lower,FL,28
state-lower,FL,29
state-lower,FL,30
state-lower,FL,31
state-lower,FL,32
state-lower,FL,33
